# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20000925,  152
  260,20000926,  169
  260,20000927,  161
  260,20000928,  158
  260,20000929,  169
  260,20000930,  159
  260,20001001,  138
  260,20001002,  124
  260,20001003,  127
  260,20001004,  122
  260,20001005,  121
  260,20001006,   92
  260,20001007,   84
  260,20001008,  101
  260,20001009,   96
  260,20001010,   94
  260,20001011,  104
  260,20001012,  117
  260,20001013,  116
  260,20001014,   98
  260,20001015,  103
  260,20001016,  123
  260,20001017,  102
  260,20001018,   99
  260,20001019,  107
  260,20001020,  113
  260,20001021,  149
  260,20001022,  149
  260,20001023,  146
  260,20001024,  122
  260,20001025,  122
  260,20001026,  102
  260,20001027,  108
  260,20001028,  132
  260,20001029,  101
  260,20001030,  105
  260,20001031,   92
  260,20001101,   76
  260,20001102,   78
  260,20001103,   77
  260,20001104,   68
  260,20001105,   71
  260,20001106,   94
  260,20001107,   85
  260,20001108,   82
  260,20001109,   78
  260,20001110,   71
  260,20001111,   86
  260,20001112,   87
  260,20001113,   79
  260,20001114,   56
  260,20001115,   57
  260,20001116,   72
  260,20001117,   50
  260,20001118,   64
  260,20001119,   91
  260,20001120,   63
  260,20001121,   62
  260,20001122,   86
  260,20001123,   84
  260,20001124,   70
  260,20001125,   72
  260,20001126,   76
  260,20001127,   66
  260,20001128,  119
  260,20001129,  111
  260,20001130,  106
  260,20001201,  116
  260,20001202,  105
  260,20001203,   84
  260,20001204,   70
  260,20001205,   96
  260,20001206,  109
  260,20001207,   98
  260,20001208,  122
  260,20001209,   94
  260,20001210,   96
  260,20001211,  120
  260,20001212,  131
  260,20001213,  108
  260,20001214,   74
  260,20001215,   56
  260,20001216,   41
  260,20001217,   25
  260,20001218,   32
  260,20001219,   27
  260,20001220,   16
  260,20001221,   -1
  260,20001222,  -23
  260,20001223,  -20
  260,20001224,    6
  260,20001225,   -6
  260,20001226,  -22
  260,20001227,  -10
  260,20001228,    5
  260,20001229,    6
  260,20001230,   17
  260,20001231,   -1
